Company,Count,URL,
Soma,46,https://www.somachocolate.com/,https://barandcocoa.com/
Bonnat,27,https://bonnat-chocolatier.com/en,https://cocoarunners.com/
Fresco,26,https://frescochocolate.com/,http://chocolatecodex.com/
Pralus,25,https://www.chocolats-pralus.com/la-fabrique,
A. Morin,23,https://chocolaterie-morin.com/,
Domori,22,https://domori.com/en/,
Arete,22,https://www.aretefinechocolate.com/,
Guittard,22,https://www.guittard.com/,
Valrhona,21,https://www.valrhona-chocolate.com/,
Hotel Chocolat (Coppeneur),19,https://us.hotelchocolat.com/,
Coppeneur,18,https://www.coppeneurchocolate.com/home,
Zotter,17,https://www.zotterusa.com/,
Scharffen Berger,17,https://www.scharffenberger.com/,
Mast Brothers,17,https://mastchocolate.com/,
Rogue,16,https://www.roguechocolatier.com/,
The Smooth Chocolator,16,https://www.smoothchoc.com/,
Artisan du Chocolat,16,https://www.artisanduchocolat.com/,
Dandelion,16,https://store.dandelionchocolate.com/pages/home,
Szanto Tibor,15,https://www.facebook.com/szanto.tibor,
Bittersweet Origins,14,https://www.bittersweetchocolatesllc.com/,
Pierre Marcolini,14,https://eu.marcolini.com/en/,
Castronovo,14,https://www.castronovochocolate.com/,
Tejas,14,https://www.tejaschocolate.com/,
Dick Taylor,13,https://dicktaylorchocolate.com/,
Amedei,13,https://us.amedei.it/en/,
Pacari,13,https://www.pacari.com/?lang=en,
Duffy's,13,https://duffysfinechocolates.com/,
Friis Holm (Bonnat),12,https://www.friisholmchokolade.dk/,
Madre,11,https://www.madrechocolate.com/,
Sirene,11,https://sirenechocolate.com/,
Palette de Bine,11,https://palettedebine.com/en/,
Middlebury,11,https://www.jacksonfamilychocolate.com/,
Laia aka Chat-Noir,10,https://www.facebook.com/chatnoirchocolates/,
Map Chocolate,10,https://www.mapchocolate.com/,
French Broad,10,https://www.frenchbroadchocolates.com/,
Idilio (Felchlin),10,https://idilio.ch/en/idilio-origins.html,
Altus aka Cao Artisan,10,https://caochocolates.com/,
La Maison du Chocolat (Valrhona),10,https://www.lamaisonduchocolat.com/en_us,
Michel Cluizel,10,https://cluizel.us/,
Marou,10,https://marouchocolate.com/,
Amano,9,https://amanochocolate.com/,
L.A. Burdick (Felchlin),9,https://www.burdickchocolate.com/,
Habitual,9,https://www.habitualchocolate.com/home.html,
Ritual,9,https://www.ritualchocolate.com/,
Fruition,9,https://www.fruitionchocolateworks.com/,
Letterpress,9,https://www.letterpresschocolate.com/,
Holy Cacao,9,https://www.holycacao.co.il/,
Terroir,9,https://terroirchocolate.com/,
Pitch Dark,9,http://www.pitchdarkchocolate.com/,
Brasstown aka It's Chocolate,9,https://brasstownchocolate.com/,
Cacao Sampaka,9,https://www.cacaosampaka.com/en/home,
Danta,9,http://danteconfection.com/,
Beschle (Felchlin),8,https://beschle.ch/chocolaterie/,
Willie's Cacao,8,https://www.williescacao.com/,
Chocovic,8,https://www.barry-callebaut.com/es-ES/artesanos/chocovic,
Kallari (Ecuatoriana),8,https://www.kallari.com.ec/,
Woodblock,8,https://woodblockchocolate.com/,
Pump Street Bakery,8,https://pumpstreetchocolate.com/,
Hummingbird,8,https://hummingbirdchocolate.com/,
TCHO,8,https://tcho.com/,
Manufaktura Czekolady,7,http://cms.manufakturaczekolady.pl/en/offerp,
C-Amaro,7,https://cocoarunners.com/maker/amaro/,
Felchlin,7,https://www.felchlin.com/en/,
Rozsavolgyi,7,https://www.rozsavolgyi.com/en/index.php,
Kto,7,,
Spencer,7,https://www.spencercocoa.com.au/,
Cacao Hunters,7,https://www.cacaohunters.com/,
Chocolate Con Amor,7,,
El Rey,7,https://chocolates-elrey.com/,
Manoa,7,https://manoachocolate.com/,
Cravve,7,,
Potomac,7,https://www.potomacchocolate.com/,
Askinosie,6,https://askinosie.com/,
Ocho,6,https://ocho.co.nz/,
Neuhaus (Callebaut),6,https://www.neuhauschocolates.com/en_BE/home,
Cacao de Origen,6,http://eco-kakao.com.ec/index2.html,
The Chocolate Tree,6,https://www.choctree.co.uk/,
Patric,6,https://patric-chocolate.com/,
Blue Bandana,6,https://www.lakechamplainchocolates.com/blog/farewell-chocolate-maker,
Soul,6,https://www.soulroasters.com/,
Q Chocolate,6,,
Lonohana,6,https://www.lonohana.com/,
Zart Pralinen,6,https://www.zartpralinen.at/,
Lillie Belle,6,https://www.lilliebellefarms.com/,
Shark Mountain,6,,
Caoni (Tulicorp),6,http://www.caonichocolate.com/,
Brazen,6,https://www.facebook.com/brazenchocolate,
Theo,6,https://theochocolate.com/,
Dean and Deluca (Belcolade),6,https://www.belcolade.com/en,
Solstice,6,https://www.solsticechocolate.com/,
Mesocacao,6,https://www.mesocacao.com/,
Original Beans (Felchlin),6,https://originalbeans.com/,
Benoit Nihant,6,http://www.benoitnihant.be,
twenty-four blackbirds,6,https://www.twentyfourblackbirds.com/,
Zak's,6,https://zakschocolate.com/,
Vao Vao (Chocolaterie Robert),6,http://www.chocolatmadagascar.com/,
Ambrosia,6,https://ambrosiachocolates.com/,
Starchild,5,https://www.facebook.com/Starchildchocolate,
Zokoko,5,http://www.zokoko.com/,
Alain Ducasse,5,https://www.lechocolat-alainducasse.com/en/,
Compania de Chocolate (Salgado),5,https://www.companiadechocolates.com/productos/,
Georgia Ramon,5,https://georgia-ramon.com/,
Bar Au Chocolat,5,https://www.barauchocolat.com/,
Guido Castagna,5,https://www.guidocastagna.it/,
Meadowlands,5,https://meadowlandschocolate.blogspot.com/,
Cao,5,https://caochocolates.com/,
Bahen & Co.,5,https://www.bahenchocolate.com/,
Escazu,5,https://escazuchocolates.com/,
Frederic Blondeel,5,https://frederic-blondeel.be/,
Videri,5,https://viderichocolatefactory.com/,
Durci,5,https://www.facebook.com/durcichocolate,
hexx,5,https://www.hexxchocolate.com/,
Republica del Cacao (aka Confecta),5,https://republicadelcacao.com/,
Dark Forest,5,https://www.darkforestchocolate.com/,
Santander (Compania Nacional),5,https://www.chocolatesantander.com/en/,
Choklat,5,https://choklat.com/site/homepage.asp,
Violet Sky,5,https://www.violetskychocolate.com/,
AMMA,5,https://www.ammachocolate.com.br/,
organicfair,5,,
S.A.I.D.,5,,
Cacao Barry,5,https://www.cacao-barry.com/en-US/,
Ethel's Artisan (Mars),5,https://www.ethelm.com,
Caribeans,5,https://www.caribeanschocolate.com/,
Hoja Verde (Tulicorp),5,,
Carlotta Chocolat,5,,
Nuance,5,http://www.nuancechocolate.com/,
Burnt Fork Bend,5,https://burntforkbend.square.site/,
Isidro,4,https://sibuchocolate.com/,
La Chocolaterie Nanairo,4,https://chocolate-nanairo.com/,
Madecasse (Cinagra),4,https://cocoarunners.com/maker/madecasse/,
Maverick,4,https://cocoarunners.com/maker/madecasse/,
Cacao Prieto,4,https://www.cacaoprieto.com/,
Beehive,4,https://www.beehivesnackies.com/,
L'Amourette,4,https://www.lamourettechocolat.com/,
Luker,4,https://lukerchocolate.com/en,
Kah Kow,4,https://kahkow.com/,
Franceschi,4,https://www.franceschichocolate.com/en,
Parliament,4,https://parliamentchocolate.com/,
Heirloom Cacao Preservation (Guittard),4,https://www.hcpcacao.org/,
Tabal,4,https://tabalchocolate.com/,
Cello,4,https://www.cellochocolate.com/,
Mana,4,https://www.cocoamanna.com/,
Nibble,4,https://nibblechocolate.com/,
Claudio Corallo,4,https://claudiocorallo.com/index.php?lang=en,
Mutari,4,https://www.mutarichocolate.com/,
Bright,4,,
Doble & Bignall,4,https://cocoarunners.com/maker/doble-bignall/,
Matale,4,https://perthmunchkin.com/2013/10/13/matale-chocolate/,
Olivia,4,https://www.oliviachocolatiers.com/,
Tablette (aka Vanillabeans),4,,
Adi,4,http://fijianacacao.com/,
Finca,4,https://fincachocolat.com/,
Ara,4,http://www.arachocolat.com/,
Amatller (Simon Coll),4,https://www.chocolateamatller.com/en/,
Wilkie's Organic,4,,
Olive and Sinclair,4,https://www.oliveandsinclair.com/,
Taza,4,https://www.tazachocolate.com/,
Raaka,4,https://www.raakachocolate.com/,
Harper Macaw,4,https://harpermacaw.com/,
Hogarth,4,https://www.hogarthchocolate.co.nz/wp/,
Dormouse,4,https://dormousechocolates.com/,
Silvio Bessone,4,https://silviobessone.it/en/home-2.html,
Cacaoyere (Ecuatoriana),4,http://www.adagiochocolates.com/Cacaoyere/english/01_about_us.html,
Bisou,4,,
Nathan Miller,4,,
Maglio,4,https://www.cioccolatomaglio.it/,
Kyya,4,,
Davis,4,,
Belcolade,4,,
K'ul,4,,
Alexandre,4,,
Damson,4,,
Mars,4,,
Vintage Plantations (Tulicorp),4,,
Salgado,4,,
Cacao Atlanta,4,,
Cacao Store,3,,
East Van Roasters,3,,
Roasting Masters,3,,
Naï¿½ve,3,,
Tocoti,3,,
Molucca,3,,
Ranger,3,,
Hotel Chocolat,3,,
DAR,3,,
Montecristi,3,,
Belyzium,3,,
DeVries,3,,
Martin Mayer,3,,
Batch,3,,
Chocolate Makers,3,,
Fossa,3,,
Naive,3,,
Ethereal,3,,
Snake & Butterfly,3,,
Bellflower,3,,
Omnom,3,,
Goodnow Farms,3,,
Momotombo,3,,
Moho,3,,
StRita Supreme,3,,
Marana,3,,
Nova Monda,3,,
Erithaj (A. Morin),3,,
Just Good Chocolate,3,,
Chocolarder,3,,
Feitoria Cacao,3,,
Vivra,3,,
Grenada Chocolate Co.,3,,
Noble Bean aka Jerjobo,3,,
Black Mountain,3,,
Akesson's (Pralus),3,,
Wm,3,,
Spagnvola,3,,
Pomm (aka Dead Dog),2,,
Nahua,2,,
Izard,2,,
De Villiers,2,,
Chocola'te,2,,
Bowler Man,2,,
Sjolinds,2,,
Dolfin (Belcolade),2,,
Kaoka (Cemoi),2,,
Captain Pembleton,2,,
Sublime Origins,2,,
Solomons Gold,2,,
Acalli,2,,
De Mendes,2,,
Obolo,2,,
Bouga Cacao (Tulicorp),2,,
Shark's,2,,
El Ceibo,2,,
Undone,2,,
Robert (aka Chocolaterie Robert),2,https://chocolaterierobert.fr/,
Hacienda El Castillo,2,,
Xocolla,2,,
iQ Chocolate,2,,
Machu Picchu Trading Co.,2,,
Somerville,2,,
Creo,2,,
Solkiki,2,,
Chchukululu (Tulicorp),2,,
Malagasy (Chocolaterie Robert),2,,
Vicuna,2,,
Forteza (Cortes),2,,
Vanleer (Barry Callebaut),2,,
Orquidea,2,,
Blanxart,2,,
Daintree,2,,
hello cocoa,2,,
Glennmade,2,,
Noir d' Ebine,2,,
Stella (aka Bernrain),2,,
Chocovivo,2,,
Aequare (Gianduja),2,,
Bakau,2,,
Metiisto,2,,
Emerald Estate,2,,
Menakao (aka Cinagra),2,,
Sibu,2,,
Original Hawaiin Chocolate Factory,2,,
Indaphoria,2,,
Callebaut,2,,
Choco Del Sol,2,,
Emily's,2,,
Wellington Chocolate Factory,2,,
Mindo,2,,
Suruca Chocolate,2,,
Debauve & Gallais (Michel Cluizel),2,,
Eau de Rose,2,,
Summerbird,2,,
Kakao,2,,
SRSLY,2,,
Night Owl,2,,
Seaforth,2,,
Muchomas (Mesocacao),2,,
Sacred,2,,
Beau Cacao,2,,
Marsatta,2,,
Stone Grindz,2,,
Sol Cacao,2,,
Pascha,2,,
Millcreek Cacao Roasters,2,,
Malie Kai (Guittard),2,,
Ocelot,2,,
Mission,2,,
Heirloom Cacao Preservation (Zokoko),2,,
Chocolate Alchemist-Philly,2,,
Upchurch,2,,
Paul Young,2,,
Amazona,2,,
Choco Dong,2,,
Ohiyo,2,,
Quetzalli (Wolter),2,,
Chaleur B,1,,
Heirloom Cacao Preservation (Mindo),1,,
Pura Delizia,1,,
Un Dimanche A Paris,1,,
Mayacama,1,,
Garden Island,1,,
Heilemann,1,,
Grand Place,1,,
Loiza,1,,
Honest,1,,
Lilla,1,,
Treehouse,1,,
Indi,1,,
Theobroma,1,,
Vintage Plantations,1,,
Breeze Mill,1,,
Heirloom Cacao Preservation (Millcreek),1,,
Park 75,1,,
Marigold's Finest,1,,
Oakland Chocolate Co.,1,,
Rancho San Jacinto,1,,
Green Bean to Bar,1,,
Desbarres,1,,
Whittakers,1,,
Majani,1,,
Levy,1,,
Monarque,1,,
Cemoi,1,,
Kerchner,1,,
Rain Republic,1,,
Raw Cocoa,1,,
Pangea,1,,
Urzi,1,,
Chequessett,1,,
Bronx Grrl Chocolate,1,,
Xocolat,1,,
Heirloom Cacao Preservation (Fruition),1,,
Tsara (Cinagra),1,,
Chocolats Privilege,1,,
Malmo,1,,
Jordis,1,,
Tobago Estate (Pralus),1,,
Chocosol,1,,
Fearless (AMMA),1,,
Choocsol,1,,
Confluence,1,,
Nanea,1,,
Chocablog,1,,
Cacao Market,1,,
Enric Rovira (Claudio Corallo),1,,
Eclat (Felchlin),1,,
Metropolitan,1,,
Nugali,1,,
Vietcacao (A. Morin),1,,
Heirloom Cacao Preservation (Manoa),1,,
Hachez,1,,
Raoul Boulanger,1,,
Dole (Guittard),1,,
Peppalo,1,,
Oialla by Bojessen (Malmo),1,,
Jacque Torres,1,,
Cacao Arabuco,1,,
Green & Black's (ICAM),1,,
Chloe Chocolat,1,,
Lake Champlain (Callebaut),1,,
Ki' Xocolatl,1,,
Christopher Morel (Felchlin),1,,
ChocoReko,1,,
Sprungli (Felchlin),1,,
Kiskadee,1,,
Britarev,1,,
Omanhene,1,,
Condor,1,,
Baravelli's,1,,
Anahata,1,,
Cote d' Or (Kraft),1,,
Artisan du Chocolat (Casa Luker),1,,
Chuao Chocolatier (Pralus),1,,
Durand,1,,
Edelmond,1,,
The Barn,1,,
Dalloway,1,,
Animas,1,,
Two Ravens,1,,
Rococo (Grenada Chocolate Co.),1,,
Forever Cacao,1,,
Svenska Kakaobolaget,1,,
Monsieur Truffe,1,,
Chuao Chocolatier,1,,
Love Bar,1,,
La Pepa de Oro,1,,
Heirloom Cacao Preservation (Brasstown),1,,
ENNA,1,,
Charm School,1,,
Cacaosuyo (Theobroma Inversiones),1,,
Sibu Sura,1,,
Cloudforest,1,,
Shattell,1,,
Lajedo do Ouro,1,,
Haigh,1,,
Indah,1,,
Santome,1,,
Chokolat Elot (Girard),1,,
Minimal,1,,
Cacao de Origin,1,,
Ah Cacao,1,,
La Oroquidea,1,,
Bernachon,1,,
Black River (A. Morin),1,,
Malagos,1,,
Dulcinea,1,,
Coleman & Davis,1,,
Tan Ban Skrati,1,,
Chocolate Conspiracy,1,,
Lindt & Sprungli,1,,
Manifesto Cacao,1,,
Timo A. Meyer,1,,
Mita,1,,
To'ak (Ecuatoriana),1,,
Pinellas,1,,
Friis Holm,1,,
Shattel,1,,
